_id,date,site,parameter,index_value,description,health_advisory,health_effects
75659,1/4/2024,Lawrenceville 2,CO,2,Good,,
75660,1/4/2024,Harrison Township,NO2,5,Good,,
75661,1/4/2024,Parkway East,NO2,10,Good,,
75662,1/4/2024,Lawrenceville,OZONE,31,Good,,
75663,1/4/2024,Liberty,PM25_640,15,Good,,
75664,1/4/2024,North Braddock,SO2,0,Good,,
75665,1/4/2024,Glassport High Street,PM10,6,Good,,
75666,1/4/2024,Avalon,PM25_640,16,Good,,
75667,1/4/2024,Liberty,SO2,1,Good,,
75668,1/4/2024,Pittsburgh,PM25_640,21,Good,,
75669,1/4/2024,Clairton,PM25_640,15,Good,,
75670,1/5/2024,Lawrenceville 2,CO,5,Good,,
75671,1/5/2024,Harrison Township,NO2,26,Good,,
75672,1/5/2024,Parkway East,NO2,25,Good,,
75673,1/5/2024,Liberty,PM25_640,40,Good,,
75674,1/5/2024,North Braddock,SO2,7,Good,,
75675,1/5/2024,North Braddock,CO,5,Good,,
75676,1/5/2024,Parkway East,CO,5,Good,,
75677,1/5/2024,Harrison Township,OZONE,26,Good,,
75678,1/5/2024,South Fayette,OZONE,28,Good,,
75679,1/5/2024,Pittsburgh,PM10_640,16,Good,,
75680,1/5/2024,North Braddock,PM25_640,38,Good,,
75681,1/5/2024,Parkway East,PM25_640,35,Good,,
75682,1/5/2024,Lawrenceville 2,SO2,3,Good,,
75683,1/5/2024,Pittsburgh,NO2_500,30,Good,,
75684,1/5/2024,Liberty,PM10_640,12,Good,,
75685,1/5/2024,North Braddock,PM10_640,14,Good,,
75686,1/5/2024,Lawrenceville,OZONE,21,Good,,
75687,1/5/2024,Glassport High Street,PM10,10,Good,,
75688,1/5/2024,Avalon,PM25_640,38,Good,,
75689,1/5/2024,Liberty,SO2,6,Good,,
75690,1/5/2024,Pittsburgh,PM25_640,48,Good,,
75691,1/5/2024,Clairton,PM25_640,32,Good,,
75703,1/6/2024,North Braddock,CO,6,Good,,
75704,1/6/2024,Parkway East,CO,4,Good,,
75705,1/6/2024,Parkway East,NO2,17,Good,,
75706,1/6/2024,Pittsburgh,NO2_500,24,Good,,
75707,1/6/2024,Harrison Township,OZONE,22,Good,,
75708,1/6/2024,North Braddock,PM25_640,41,Good,,
75709,1/6/2024,Parkway East,PM25_640,37,Good,,
75710,1/6/2024,Lawrenceville 2,SO2,2,Good,,
75711,1/6/2024,North Braddock,SO2,1,Good,,
75712,1/6/2024,Harrison Township,NO2,13,Good,,
75713,1/6/2024,Pittsburgh,PM10_640,19,Good,,
75714,1/6/2024,Lawrenceville 2,CO,6,Good,,
75715,1/6/2024,Lawrenceville,OZONE,14,Good,,
75716,1/6/2024,Glassport High Street,PM10,13,Good,,
75717,1/6/2024,Liberty,PM10_640,16,Good,,
75718,1/6/2024,Avalon,PM25_640,43,Good,,
75719,1/6/2024,South Fayette,OZONE,18,Good,,
75720,1/6/2024,North Braddock,PM10_640,19,Good,,
75721,1/6/2024,Liberty,SO2,0,Good,,
75722,1/6/2024,Liberty,PM25_640,48,Good,,
75723,1/6/2024,Clairton,PM25_640,43,Good,,
75724,1/6/2024,Pittsburgh,PM25_640,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75736,1/7/2024,Pittsburgh,PM10_640,17,Good,,
75737,1/7/2024,North Braddock,PM25_640,33,Good,,
75738,1/7/2024,Lawrenceville 2,SO2,0,Good,,
75739,1/7/2024,Lawrenceville 2,CO,4,Good,,
75740,1/7/2024,Lawrenceville,OZONE,15,Good,,
75741,1/7/2024,Liberty,PM10_640,15,Good,,
75742,1/7/2024,Avalon,PM25_640,41,Good,,
75743,1/7/2024,Liberty,PM25_640,29,Good,,
75744,1/7/2024,Harrison Township,NO2,14,Good,,
75745,1/7/2024,Parkway East,NO2,15,Good,,
75746,1/7/2024,Pittsburgh,NO2_500,15,Good,,
75747,1/7/2024,Harrison Township,OZONE,18,Good,,
75748,1/7/2024,Parkway East,PM25_640,38,Good,,
75749,1/7/2024,North Braddock,SO2,0,Good,,
75750,1/7/2024,North Braddock,CO,3,Good,,
75751,1/7/2024,Parkway East,CO,6,Good,,
75752,1/7/2024,South Fayette,OZONE,17,Good,,
75753,1/7/2024,Glassport High Street,PM10,8,Good,,
75754,1/7/2024,North Braddock,PM10_640,13,Good,,
75755,1/7/2024,Liberty,SO2,1,Good,,
75756,1/7/2024,Clairton,PM25_640,29,Good,,
75757,1/7/2024,Pittsburgh,PM25_640,48,Good,,
75758,1/8/2024,North Braddock,CO,4,Good,,
75759,1/8/2024,Parkway East,CO,5,Good,,
75760,1/8/2024,Harrison Township,OZONE,24,Good,,
75761,1/8/2024,South Fayette,OZONE,25,Good,,
75762,1/8/2024,Glassport High Street,PM10,7,Good,,
75763,1/8/2024,North Braddock,PM25_640,57,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75764,1/8/2024,Parkway East,PM25_640,55,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75765,1/8/2024,Liberty,SO2,0,Good,,
75766,1/8/2024,Lawrenceville 2,CO,3,Good,,
75767,1/8/2024,Lawrenceville,OZONE,19,Good,,
75768,1/8/2024,Liberty,PM10_640,18,Good,,
75769,1/8/2024,North Braddock,PM10_640,19,Good,,
75770,1/8/2024,Harrison Township,NO2,7,Good,,
75771,1/8/2024,Parkway East,NO2,14,Good,,
75772,1/8/2024,Pittsburgh,NO2_500,12,Good,,
75773,1/8/2024,North Braddock,SO2,0,Good,,
75774,1/8/2024,Pittsburgh,PM10_640,24,Good,,
75775,1/8/2024,Avalon,PM25_640,59,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75776,1/8/2024,Liberty,PM25_640,56,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75777,1/8/2024,Lawrenceville 2,SO2,0,Good,,
75778,1/8/2024,Pittsburgh,PM25_640,67,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75779,1/8/2024,Clairton,PM25_640,54,Moderate,Unusually sensitive people should consider reducing prolonged or heavy exertion.,"Respiratory symptoms possible in unusually sensitive individuals, possible aggravation of heart or lung disease in people with cardiopulmonary disease and older adults."
75780,1/9/2024,North Braddock,CO,3,Good,,
75781,1/9/2024,Parkway East,CO,2,Good,,
75782,1/9/2024,Harrison Township,OZONE,28,Good,,
75783,1/9/2024,Lawrenceville,OZONE,23,Good,,
75784,1/9/2024,South Fayette,OZONE,30,Good,,
75785,1/9/2024,Glassport High Street,PM10,6,Good,,
75786,1/9/2024,Avalon,PM25_640,16,Good,,
75787,1/9/2024,Liberty,SO2,1,Good,,
75788,1/9/2024,Pittsburgh,PM10_640,23,Good,,
75789,1/9/2024,North Braddock,PM25_640,15,Good,,
75790,1/9/2024,Parkway East,PM25_640,14,Good,,
75791,1/9/2024,Lawrenceville 2,SO2,1,Good,,
75792,1/9/2024,Lawrenceville 2,CO,3,Good,,
75793,1/9/2024,Liberty,PM10_640,17,Good,,
75794,1/9/2024,North Braddock,PM10_640,19,Good,,
75795,1/9/2024,Liberty,PM25_640,14,Good,,
75796,1/9/2024,Harrison Township,NO2,6,Good,,
75797,1/9/2024,Parkway East,NO2,8,Good,,
75798,1/9/2024,Pittsburgh,NO2_500,24,Good,,
75799,1/9/2024,North Braddock,SO2,0,Good,,
75800,1/9/2024,Clairton,PM25_640,13,Good,,
75801,1/9/2024,Pittsburgh,PM25_640,23,Good,,
75802,1/10/2024,Lawrenceville 2,CO,3,Good,,
75803,1/10/2024,South Fayette,OZONE,25,Good,,
75804,1/10/2024,Liberty,PM10_640,5,Good,,
75805,1/10/2024,North Braddock,PM10_640,6,Good,,
75806,1/10/2024,Pittsburgh,PM10_640,7,Good,,
75807,1/10/2024,Harrison Township,NO2,5,Good,,
75808,1/10/2024,Liberty,SO2,1,Good,,
75809,1/10/2024,North Braddock,CO,3,Good,,
75810,1/10/2024,Parkway East,CO,4,Good,,
75811,1/10/2024,Parkway East,NO2,8,Good,,
75812,1/10/2024,Harrison Township,OZONE,25,Good,,
75813,1/10/2024,Lawrenceville,OZONE,21,Good,,
75814,1/10/2024,Glassport High Street,PM10,4,Good,,
75815,1/10/2024,Avalon,PM25_640,10,Good,,
75816,1/10/2024,Liberty,PM25_640,9,Good,,
75817,1/10/2024,North Braddock,SO2,0,Good,,
75818,1/10/2024,Pittsburgh,NO2_500,7,Good,,
75819,1/10/2024,North Braddock,PM25_640,10,Good,,
75820,1/10/2024,Parkway East,PM25_640,10,Good,,
75821,1/10/2024,Lawrenceville 2,SO2,1,Good,,
75822,1/10/2024,Clairton,PM25_640,9,Good,,
75823,1/10/2024,Pittsburgh,PM25_640,14,Good,,
75824,1/11/2024,Lawrenceville 2,CO,2,Good,,
75825,1/11/2024,North Braddock,CO,6,Good,,
75826,1/11/2024,Parkway East,CO,5,Good,,
75827,1/11/2024,Harrison Township,NO2,9,Good,,
75828,1/11/2024,Parkway East,NO2,12,Good,,
75829,1/11/2024,Pittsburgh,NO2_500,13,Good,,
75830,1/11/2024,Harrison Township,OZONE,24,Good,,
75831,1/11/2024,Lawrenceville,OZONE,23,Good,,
75832,1/11/2024,South Fayette,OZONE,27,Good,,
75833,1/11/2024,Glassport High Street,PM10,6,Good,,
75834,1/11/2024,Liberty,PM10_640,7,Good,,
75835,1/11/2024,North Braddock,PM10_640,11,Good,,
75836,1/11/2024,Pittsburgh,PM10_640,10,Good,,
75837,1/11/2024,Avalon,PM25_640,24,Good,,
75838,1/11/2024,Liberty,PM25_640,22,Good,,
75839,1/11/2024,North Braddock,PM25_640,29,Good,,
75840,1/11/2024,Parkway East,PM25_640,22,Good,,
75841,1/11/2024,Lawrenceville 2,SO2,1,Good,,
75842,1/11/2024,Liberty,SO2,6,Good,,
75843,1/11/2024,North Braddock,SO2,1,Good,,
75844,1/11/2024,Clairton,PM25_640,20,Good,,
75845,1/11/2024,Pittsburgh,PM25_640,30,Good,,
75868,1/12/2024,Lawrenceville 2,CO,3,Good,,
75869,1/12/2024,Harrison Township,NO2,17,Good,,
75870,1/12/2024,Parkway East,NO2,19,Good,,
75871,1/12/2024,Lawrenceville,OZONE,23,Good,,
75872,1/12/2024,Liberty,PM25_640,35,Good,,
75873,1/12/2024,North Braddock,SO2,0,Good,,
75874,1/12/2024,Glassport High Street,PM10,9,Good,,
75875,1/12/2024,Avalon,PM25_640,28,Good,,
75876,1/12/2024,Liberty,SO2,6,Good,,
75877,1/12/2024,Pittsburgh,NO2_500,23,Good,,
75878,1/12/2024,Liberty,PM10_640,13,Good,,
75879,1/12/2024,North Braddock,PM10_640,13,Good,,
75880,1/12/2024,North Braddock,CO,5,Good,,
75881,1/12/2024,Parkway East,CO,6,Good,,
75882,1/12/2024,Harrison Township,OZONE,28,Good,,
75883,1/12/2024,South Fayette,OZONE,31,Good,,
75884,1/12/2024,Pittsburgh,PM10_640,15,Good,,
75885,1/12/2024,North Braddock,PM25_640,30,Good,,
75886,1/12/2024,Parkway East,PM25_640,28,Good,,
75887,1/12/2024,Lawrenceville 2,SO2,2,Good,,
75888,1/12/2024,Clairton,PM25_640,30,Good,,
75889,1/12/2024,Pittsburgh,PM25_640,40,Good,,
75890,1/13/2024,North Braddock,CO,8,Good,,
75891,1/13/2024,Parkway East,CO,3,Good,,
75892,1/13/2024,Harrison Township,OZONE,24,Good,,
75893,1/13/2024,South Fayette,OZONE,28,Good,,
75894,1/13/2024,Pittsburgh,PM10_640,12,Good,,
75895,1/13/2024,North Braddock,PM25_640,17,Good,,
75896,1/13/2024,Parkway East,PM25_640,14,Good,,
75897,1/13/2024,Lawrenceville 2,SO2,1,Good,,
75898,1/13/2024,Lawrenceville,OZONE,23,Good,,
75899,1/13/2024,Glassport High Street,PM10,7,Good,,
75900,1/13/2024,Avalon,PM25_640,14,Good,,
75901,1/13/2024,Liberty,SO2,14,Good,,
75902,1/13/2024,Pittsburgh,NO2_500,12,Good,,
75903,1/13/2024,Liberty,PM10_640,10,Good,,
75904,1/13/2024,North Braddock,PM10_640,12,Good,,
75905,1/13/2024,Lawrenceville 2,CO,2,Good,,
75906,1/13/2024,Harrison Township,NO2,7,Good,,
75907,1/13/2024,Parkway East,NO2,10,Good,,
75908,1/13/2024,Liberty,PM25_640,16,Good,,
75909,1/13/2024,North Braddock,SO2,0,Good,,
75910,1/13/2024,Pittsburgh,PM25_640,20,Good,,
75911,1/13/2024,Clairton,PM25_640,12,Good,,
75912,1/14/2024,Lawrenceville,OZONE,24,Good,,
75913,1/14/2024,Glassport High Street,PM10,6,Good,,
75914,1/14/2024,South Fayette,OZONE,27,Good,,
75915,1/14/2024,Liberty,PM10_640,8,Good,,
75916,1/14/2024,North Braddock,PM10_640,11,Good,,
75917,1/14/2024,Liberty,SO2,7,Good,,
75918,1/14/2024,Avalon,PM25_640,18,Good,,
75919,1/14/2024,Liberty,PM25_640,18,Good,,
75920,1/14/2024,North Braddock,CO,2,Good,,
75921,1/14/2024,Parkway East,CO,4,Good,,
75922,1/14/2024,Parkway East,NO2,9,Good,,
75923,1/14/2024,Pittsburgh,NO2_500,8,Good,,
75924,1/14/2024,Harrison Township,OZONE,26,Good,,
75925,1/14/2024,North Braddock,PM25_640,18,Good,,
75926,1/14/2024,Parkway East,PM25_640,19,Good,,
75927,1/14/2024,Lawrenceville 2,SO2,1,Good,,
75928,1/14/2024,North Braddock,SO2,1,Good,,
75929,1/14/2024,Lawrenceville 2,CO,2,Good,,
75930,1/14/2024,Harrison Township,NO2,6,Good,,
75931,1/14/2024,Pittsburgh,PM10_640,11,Good,,
75932,1/14/2024,Clairton,PM25_640,15,Good,,
75933,1/14/2024,Pittsburgh,PM25_640,24,Good,,
75934,1/15/2024,Harrison Township,NO2,13,Good,,
75935,1/15/2024,Pittsburgh,PM10_640,18,Good,,
75936,1/15/2024,Lawrenceville 2,SO2,7,Good,,
75937,1/15/2024,Lawrenceville 2,CO,2,Good,,
75938,1/15/2024,Lawrenceville,OZONE,19,Good,,
75939,1/15/2024,North Braddock,CO,2,Good,,
75940,1/15/2024,Parkway East,CO,5,Good,,
75941,1/15/2024,South Fayette,OZONE,24,Good,,
75942,1/15/2024,Glassport High Street,PM10,10,Good,,
75943,1/15/2024,North Braddock,PM10_640,16,Good,,
75944,1/15/2024,Liberty,SO2,3,Good,,
75945,1/15/2024,Liberty,PM10_640,12,Good,,
75946,1/15/2024,Avalon,PM25_640,27,Good,,
75947,1/15/2024,Liberty,PM25_640,27,Good,,
75948,1/15/2024,Parkway East,NO2,15,Good,,
75949,1/15/2024,Pittsburgh,NO2_500,14,Good,,
75950,1/15/2024,Harrison Township,OZONE,21,Good,,
75951,1/15/2024,North Braddock,PM25_640,29,Good,,
75952,1/15/2024,Parkway East,PM25_640,29,Good,,
75953,1/15/2024,North Braddock,SO2,3,Good,,
75954,1/15/2024,Pittsburgh,PM25_640,38,Good,,
75955,1/15/2024,Clairton,PM25_640,25,Good,,
75956,1/16/2024,Lawrenceville 2,CO,3,Good,,
75957,1/16/2024,North Braddock,CO,2,Good,,
75958,1/16/2024,Parkway East,CO,4,Good,,
75959,1/16/2024,Harrison Township,OZONE,31,Good,,
75960,1/16/2024,Pittsburgh,PM10_640,19,Good,,
75961,1/16/2024,North Braddock,PM25_640,34,Good,,
75962,1/16/2024,Parkway East,PM25_640,37,Good,,
75963,1/16/2024,Lawrenceville 2,SO2,1,Good,,
75964,1/16/2024,Lawrenceville,OZONE,29,Good,,
75965,1/16/2024,Liberty,PM10_640,14,Good,,
75966,1/16/2024,North Braddock,PM10_640,16,Good,,
75967,1/16/2024,Liberty,PM25_640,35,Good,,
75968,1/16/2024,South Fayette,OZONE,32,Good,,
75969,1/16/2024,Glassport High Street,PM10,11,Good,,
75970,1/16/2024,Avalon,PM25_640,33,Good,,
75971,1/16/2024,Liberty,SO2,1,Good,,
75972,1/16/2024,Harrison Township,NO2,8,Good,,
75973,1/16/2024,Parkway East,NO2,13,Good,,
75974,1/16/2024,Pittsburgh,NO2_500,11,Good,,
75975,1/16/2024,North Braddock,SO2,0,Good,,
75976,1/16/2024,Pittsburgh,PM25_640,44,Good,,
75977,1/16/2024,Clairton,PM25_640,31,Good,,
75978,1/17/2024,North Braddock,CO,4,Good,,
75979,1/17/2024,Parkway East,CO,3,Good,,
75980,1/17/2024,Harrison Township,OZONE,29,Good,,
75981,1/17/2024,Lawrenceville,OZONE,27,Good,,
75982,1/17/2024,South Fayette,OZONE,31,Good,,
75983,1/17/2024,Glassport High Street,PM10,7,Good,,
75984,1/17/2024,Avalon,PM25_640,22,Good,,
75985,1/17/2024,Liberty,SO2,11,Good,,
75986,1/17/2024,Pittsburgh,PM10_640,19,Good,,
75987,1/17/2024,North Braddock,PM25_640,23,Good,,
75988,1/17/2024,Parkway East,PM25_640,22,Good,,
75989,1/17/2024,Lawrenceville 2,SO2,4,Good,,
75990,1/17/2024,Lawrenceville 2,CO,2,Good,,
75991,1/17/2024,Liberty,PM10_640,11,Good,,
75992,1/17/2024,North Braddock,PM10_640,16,Good,,
75993,1/17/2024,Liberty,PM25_640,20,Good,,
75994,1/17/2024,Harrison Township,NO2,7,Good,,
75995,1/17/2024,Parkway East,NO2,9,Good,,
75996,1/17/2024,Pittsburgh,NO2_500,13,Good,,
75997,1/17/2024,North Braddock,SO2,11,Good,,
75998,1/17/2024,Clairton,PM25_640,18,Good,,
75999,1/17/2024,Pittsburgh,PM25_640,30,Good,,
76000,1/18/2024,Lawrenceville 2,CO,3,Good,,
76001,1/18/2024,South Fayette,OZONE,32,Good,,
76002,1/18/2024,Liberty,PM10_640,11,Good,,
76003,1/18/2024,North Braddock,PM10_640,19,Good,,
76004,1/18/2024,Pittsburgh,PM10_640,20,Good,,
76005,1/18/2024,Liberty,PM25_640,20,Good,,
76006,1/18/2024,North Braddock,CO,5,Good,,
76007,1/18/2024,Parkway East,CO,6,Good,,
76008,1/18/2024,Harrison Township,OZONE,31,Good,,
76009,1/18/2024,Lawrenceville,OZONE,27,Good,,
76010,1/18/2024,Glassport High Street,PM10,9,Good,,
76011,1/18/2024,Avalon,PM25_640,19,Good,,
76012,1/18/2024,North Braddock,SO2,11,Good,,
76013,1/18/2024,Harrison Township,NO2,10,Good,,
76014,1/18/2024,Parkway East,NO2,24,Good,,
76015,1/18/2024,Liberty,SO2,10,Good,,
76016,1/18/2024,Pittsburgh,NO2_500,24,Good,,
76017,1/18/2024,North Braddock,PM25_640,23,Good,,
76018,1/18/2024,Parkway East,PM25_640,21,Good,,
76019,1/18/2024,Lawrenceville 2,SO2,3,Good,,
76020,1/18/2024,Pittsburgh,PM25_640,26,Good,,
76021,1/18/2024,Clairton,PM25_640,17,Good,,
76022,1/19/2024,Lawrenceville 2,CO,3,Good,,
76023,1/19/2024,Parkway East,NO2,14,Good,,
76024,1/19/2024,Harrison Township,OZONE,28,Good,,
76025,1/19/2024,Lawrenceville,OZONE,26,Good,,
76026,1/19/2024,Avalon,PM25_640,36,Good,,
76027,1/19/2024,Liberty,PM25_640,33,Good,,
76028,1/19/2024,North Braddock,SO2,0,Good,,
76029,1/19/2024,Pittsburgh,NO2_500,12,Good,,
76030,1/19/2024,Liberty,PM10_640,11,Good,,
76031,1/19/2024,North Braddock,PM25_640,35,Good,,
76032,1/19/2024,Parkway East,PM25_640,42,Good,,
76033,1/19/2024,North Braddock,CO,2,Good,,
76034,1/19/2024,Parkway East,CO,6,Good,,
76035,1/19/2024,South Fayette,OZONE,29,Good,,
76036,1/19/2024,North Braddock,PM10_640,16,Good,,
76037,1/19/2024,Pittsburgh,PM10_640,19,Good,,
76038,1/19/2024,Lawrenceville 2,SO2,0,Good,,
76039,1/19/2024,Harrison Township,NO2,5,Good,,
76040,1/19/2024,Glassport High Street,PM10,10,Good,,
76041,1/19/2024,Liberty,SO2,0,Good,,
76042,1/19/2024,Clairton,PM25_640,32,Good,,
76043,1/19/2024,Pittsburgh,PM25_640,48,Good,,
76044,1/20/2024,Pittsburgh,NO2_500,14,Good,,
76045,1/20/2024,Liberty,PM10_640,9,Good,,
76046,1/20/2024,North Braddock,PM10_640,10,Good,,
76047,1/20/2024,Lawrenceville 2,CO,2,Good,,
76048,1/20/2024,Harrison Township,NO2,4,Good,,
76049,1/20/2024,Parkway East,NO2,11,Good,,
76050,1/20/2024,Lawrenceville,OZONE,27,Good,,
76051,1/20/2024,Liberty,PM25_640,21,Good,,
76052,1/20/2024,North Braddock,SO2,0,Good,,
76053,1/20/2024,Glassport High Street,PM10,6,Good,,
76054,1/20/2024,Avalon,PM25_640,22,Good,,
76055,1/20/2024,Liberty,SO2,0,Good,,
76056,1/20/2024,North Braddock,CO,2,Good,,
76057,1/20/2024,Parkway East,CO,4,Good,,
76058,1/20/2024,Harrison Township,OZONE,29,Good,,
76059,1/20/2024,South Fayette,OZONE,31,Good,,
76060,1/20/2024,Pittsburgh,PM10_640,13,Good,,
76061,1/20/2024,North Braddock,PM25_640,22,Good,,
76062,1/20/2024,Parkway East,PM25_640,26,Good,,
76063,1/20/2024,Lawrenceville 2,SO2,0,Good,,
76064,1/20/2024,Pittsburgh,PM25_640,30,Good,,
76065,1/20/2024,Clairton,PM25_640,19,Good,,
76066,1/21/2024,Pittsburgh,NO2_500,28,Good,,
76067,1/21/2024,Liberty,PM10_640,13,Good,,
76068,1/21/2024,North Braddock,PM10_640,17,Good,,
76069,1/21/2024,Lawrenceville 2,CO,3,Good,,
76070,1/21/2024,Harrison Township,NO2,27,Good,,
76071,1/21/2024,Parkway East,NO2,21,Good,,
76072,1/21/2024,Liberty,PM25_640,44,Good,,
76073,1/21/2024,North Braddock,SO2,0,Good,,
76074,1/21/2024,Lawrenceville,OZONE,27,Good,,
76075,1/21/2024,Glassport High Street,PM10,9,Good,,
76076,1/21/2024,Avalon,PM25_640,35,Good,,
76077,1/21/2024,Liberty,SO2,1,Good,,
76078,1/21/2024,North Braddock,CO,4,Good,,
76079,1/21/2024,Parkway East,CO,6,Good,,
76080,1/21/2024,Harrison Township,OZONE,30,Good,,
76081,1/21/2024,South Fayette,OZONE,32,Good,,
76082,1/21/2024,Pittsburgh,PM10_640,17,Good,,
76083,1/21/2024,North Braddock,PM25_640,42,Good,,
76084,1/21/2024,Parkway East,PM25_640,43,Good,,
76085,1/21/2024,Lawrenceville 2,SO2,1,Good,,
76086,1/21/2024,Pittsburgh,PM25_640,50,Good,,
76087,1/21/2024,Clairton,PM25_640,36,Good,,
76088,1/22/2024,North Braddock,CO,9,Good,,
76089,1/22/2024,Parkway East,CO,8,Good,,
76090,1/22/2024,Pittsburgh,NO2_500,32,Good,,
76091,1/22/2024,Harrison Township,OZONE,26,Good,,
76092,1/22/2024,South Fayette,OZONE,32,Good,,
